Date	Val
1	0.802
1	0.4588
1	0.5574
1	-0.3818
2	0.5574
2	0.5574
3	0.5574
4	-0.4939
4	0.5574
5	0.5574
5	0.5574
6	0.6249
6	0.3612
6	0.0
6	0.5574
6	0.5574
7	-0.296
7	0.25
7	0.25
7	-0.5106
8	0.5574
8	0.0
8	0.119
9	0.5267
9	0.0
10	-0.4939
11	0.3612
11	0.25
11	0.5574
12	0.5574
12	0.0
12	0.5574
12	0.4404
13	0.3895
13	-0.2732
13	0.3612
13	0.5574
13	0.1779
14	0.885
14	-0.4767
14	0.5574
14	0.4588
14	-0.4449
14	0.0
14	0.5574
15	-0.6908
15	0.0
15	0.1779
16	-0.3818
16	0.4019
18	0.0
19	-0.6124
19	0.0
19	0.0
19	0.5574
20	0.5574
20	0.0
20	0.5574
20	0.5574
22	0.5574
22	0.4019
22	0.5574
22	0.3182
22	0.5267
22	-0.743
22	0.5574
22	-0.2263
23	0.4019
25	-0.4404
25	0.5574
26	0.5574
26	0.34
26	0.5423
26	0.5574
27	0.0
27	0.5574
27	0.4735
27	0.25
27	0.5574
27	0.6369
27	-0.3818
27	0.5574
27	0.5574
27	-0.4449
27	0.5574
27	-0.1779
27	0.6705
27	0.6705
27	0.5574
27	0.4019
27	0.0
27	0.5574
27	0.5574
28	0.5574
28	0.5574
28	0.3612
28	0.3612
28	-0.4939
32	0.2023
32	-0.4019
33	0.0
33	-0.3182
33	0.6705
34	-0.7964
34	0.5574
35	0.5574
35	0.5574
35	0.5574
36	0.7351
36	0.5994
36	0.5574
37	0.4939
38	0.5574
39	0.7783
40	0.7717
40	0.5719
41	-0.1761
43	0.5965
45	0.0
47	0.5574
49	0.0
50	0.4717
50	-0.25
50	-0.7717
51	0.5574
51	-0.2732
55	0.0
55	0.0516
56	-0.7845
57	0.5719
57	0.4019
57	-0.4118
57	0.4767
58	-0.7003
61	0.6808
61	0.4019
62	0.5106
62	0.7269
62	0.1779
63	0.5994
65	-0.5106
65	0.5574
68	0.7964
68	0.5574
69	0.2235
69	0.7269
69	0.1779
69	0.5574
70	0.296
71	0.5267
72	0.1027
73	-0.4588
73	0.1531
74	-0.4588
74	-0.0772
74	0.6124
75	0.2023
76	0.0
77	0.0
77	-0.6908
77	0.5574
78	0.7269
78	0.1779
79	0.5574
82	-0.3412
83	0.5574
83	0.128
85	0.0
87	-0.8402
90	0.0516
96	0.0
98	-0.6249
100	-0.7351
100	-0.5574
104	-0.25
104	0.3612
104	0.6249
106	0.5574
107	-0.1027
110	0.5118
110	0.0
111	0.4588
111	0.0
112	0.34
114	0.5574
117	0.5574
117	0.5574
120	0.1695
120	0.0
120	-0.5574
122	-0.6705
