Date	Val
1	0.4767
1	0.6486
1	-0.5719
1	-0.6369
1	0.0
1	0.0
2	0.7488
2	0.5574
2	0.5994
2	0.0
2	0.2732
2	0.5574
3	0.0
3	0.0
3	-0.1531
3	0.0
3	0.5574
3	0.0
4	0.0
4	0.0
4	0.0
4	0.0
5	0.0
5	0.0
5	0.0
5	0.0
6	0.25
6	0.3182
6	0.0
6	0.0
6	-0.2023
6	-0.6249
6	0.0
7	0.0
7	-0.5106
8	-0.2732
8	0.0
8	0.2023
8	0.0
8	-0.2732
9	0.0
9	0.0
9	-0.128
10	0.0
10	0.0
11	0.0
12	0.0
12	0.0
12	0.0
13	0.2023
13	0.2732
13	0.5859
13	0.0
13	0.4215
14	-0.296
15	0.2023
15	0.0
15	0.0772
16	0.0
16	-0.3818
16	0.0
16	-0.5423
16	0.0
16	0.0
17	0.4767
17	0.0
17	-0.3818
18	-0.3612
18	0.0
18	0.4019
18	-0.7096
19	0.0
20	0.0
20	0.0
20	-0.4939
20	0.4019
21	0.4939
21	0.4215
22	0.0
22	0.0
22	0.0
22	0.0
23	0.2023
23	-0.5106
24	0.0
25	0.5574
25	-0.4019
25	0.0
27	0.0
27	0.6369
27	-0.2732
28	0.0
28	0.0
28	0.7096
28	0.0
28	-0.3976
28	0.0
28	0.0
29	0.0
29	0.0
30	-0.296
31	-0.2263
32	0.0
34	0.0
34	0.0
34	0.0
35	0.0
36	0.0
36	0.0
36	-0.4019
36	0.2023
36	0.0
39	0.4767
40	0.3818
40	-0.1531
40	-0.0772
40	0.0
40	0.1027
41	0.0
42	0.296
42	0.0
42	0.0
43	-0.128
43	0.0
44	-0.296
44	0.0
44	-0.25
45	-0.1531
45	0.0
46	-0.296
46	0.0
47	-0.2263
47	0.4588
48	-0.5267
49	0.0
50	0.6597
50	0.0
51	0.0
52	0.0
52	-0.4215
53	0.0
53	0.0
53	0.0
53	0.0
54	0.4019
55	0.0
55	0.3818
55	0.4019
61	-0.3182
62	0.0
63	0.0
63	0.0
63	0.0
64	-0.3182
64	-0.4019
66	0.0
66	0.0
69	0.0
69	0.0
69	0.0
69	-0.3182
69	0.0
70	0.34
71	-0.34
71	-0.4588
71	-0.5994
71	0.0
71	-0.1027
71	0.1779
72	0.0
74	0.5267
74	0.0
76	0.0
76	0.4404
77	0.2023
77	0.0
77	0.6517
78	0.0772
82	0.0
83	-0.0516
83	0.0
87	-0.5719
88	0.0516
88	0.0
91	-0.4939
94	0.0
98	-0.0516
99	0.0
99	0.0
104	0.0
114	0.0
116	-0.3818
118	0.0
120	0.0
121	-0.3182
122	0.0
122	0.0
123	-0.6597
