Date	Val
1	0.8074
1	0.0
1	0.0
1	0.5574
2	0.7488
2	0.5574
3	0.4588
4	0.5574
4	0.6808
4	0.5574
4	0.5574
5	0.5574
5	-0.7351
6	0.7096
6	0.5574
7	0.25
7	0.0
8	0.5574
8	-0.2263
8	0.5574
10	-0.0516
11	0.7184
11	0.0
11	0.5574
11	0.5574
12	0.5574
13	0.5574
13	0.1779
13	0.5574
14	0.5574
14	-0.1027
14	0.0
14	0.128
14	0.7351
15	-0.4019
15	0.5574
16	0.0
16	-0.1027
16	0.0
18	0.5574
19	0.0
19	0.5574
19	0.5574
20	0.5574
20	0.0
20	0.0
20	0.5574
21	0.0
21	0.2732
22	0.0
22	0.2732
22	0.2023
22	-0.5106
23	0.34
23	0.0
24	-0.3818
25	0.5574
26	0.5267
26	0.1027
27	0.7906
27	0.7906
27	-0.1027
28	0.2263
28	-0.5106
28	-0.3182
28	0.0
29	0.0
29	0.0258
30	0.0
31	-0.3818
33	-0.0772
34	0.0516
34	0.5574
35	0.3818
36	0.0
39	0.7783
41	0.5574
41	0.5574
41	0.2263
42	0.1779
43	-0.0516
43	0.3875
44	-0.2732
44	-0.7579
46	0.34
47	0.5994
48	-0.4939
50	0.4404
53	0.5574
54	-0.4939
57	0.4019
57	0.25
58	-0.3612
59	-0.3818
60	-0.3182
61	0.5574
62	-0.5267
62	0.5574
62	-0.5106
62	-0.0258
63	0.0
63	0.0
64	0.128
64	0.1531
65	0.6597
67	-0.3818
67	0.0
68	0.5574
69	-0.2732
69	-0.4019
70	0.3182
73	0.1779
75	-0.4215
77	0.5574
77	-0.5859
77	0.0
78	-0.4215
78	-0.4019
79	0.0
79	0.5574
84	0.2263
90	0.8126
90	0.296
92	-0.0772
95	0.5574
97	0.0
100	0.5574
100	-0.7351
103	0.5574
103	0.1027
104	0.7003
104	0.4215
104	0.0
104	0.4019
105	0.7184
105	0.5574
107	0.0
111	0.0
111	0.25
117	0.4588
118	0.1779
120	-0.2023
120	-0.7845
120	-0.4588
Date	Val
1	0.8074
1	0.0
1	0.0
1	0.5574
2	0.7488
2	0.5574
3	0.4588
4	0.5574
4	0.6808
4	0.5574
4	0.5574
5	0.5574
5	-0.7351
6	0.7096
6	0.5574
7	0.25
7	0.0
8	0.5574
8	-0.2263
8	0.5574
10	-0.0516
11	0.7184
11	0.0
11	0.5574
11	0.5574
12	0.5574
13	0.5574
13	0.1779
13	0.5574
14	0.5574
14	-0.1027
14	0.0
14	0.128
14	0.7351
15	-0.4019
15	0.5574
16	0.0
16	-0.1027
16	0.0
18	0.5574
19	0.0
19	0.5574
19	0.5574
20	0.5574
20	0.0
20	0.0
20	0.5574
21	0.0
21	0.2732
22	0.0
22	0.2732
22	0.2023
22	-0.5106
23	0.34
23	0.0
24	-0.3818
25	0.5574
26	0.5267
26	0.1027
27	0.7906
27	0.7906
27	-0.1027
28	0.2263
28	-0.5106
28	-0.3182
28	0.0
29	0.0
29	0.0258
30	0.0
31	-0.3818
33	-0.0772
34	0.0516
34	0.5574
35	0.3818
36	0.0
39	0.7783
41	0.5574
41	0.5574
41	0.2263
42	0.1779
43	-0.0516
43	0.3875
44	-0.2732
44	-0.7579
46	0.34
47	0.5994
48	-0.4939
50	0.4404
53	0.5574
54	-0.4939
57	0.4019
57	0.25
58	-0.3612
59	-0.3818
60	-0.3182
61	0.5574
62	-0.5267
62	0.5574
62	-0.5106
62	-0.0258
63	0.0
63	0.0
64	0.128
64	0.1531
65	0.6597
67	-0.3818
67	0.0
68	0.5574
69	-0.2732
69	-0.4019
70	0.3182
73	0.1779
75	-0.4215
77	0.5574
77	-0.5859
77	0.0
78	-0.4215
78	-0.4019
79	0.0
79	0.5574
84	0.2263
90	0.8126
90	0.296
92	-0.0772
95	0.5574
97	0.0
100	0.5574
100	-0.7351
103	0.5574
103	0.1027
104	0.7003
104	0.4215
104	0.0
104	0.4019
105	0.7184
105	0.5574
107	0.0
111	0.0
111	0.25
117	0.4588
118	0.1779
120	-0.2023
120	-0.7845
120	-0.4588
