Date	Val
1	0.34
2	0.0
5	-0.4215
8	-0.6597
11	-0.5859
12	-0.3818
13	-0.2263
14	0.4019
15	-0.4019
16	0.0
19	-0.5574
20	-0.743
22	-0.1027
23	-0.7184
24	-0.2263
26	-0.4215
26	-0.5719
28	0.0
28	-0.8519
28	-0.7964
29	-0.296
29	0.2263
32	0.0
32	-0.4019
41	0.0
49	0.0
54	0.3182
54	-0.2023
55	0.0
58	-0.4588
59	-0.5574
60	-0.836
63	0.2023
72	-0.6486
72	0.0
74	0.0
79	-0.2263
85	0.0
87	-0.3818
88	-0.7003
90	-0.8402
91	-0.5574
92	-0.5423
92	0.3612
98	-0.25
98	-0.34
99	0.0
99	-0.1695
100	-0.34
100	-0.836
100	-0.6908
100	-0.5574
100	-0.34
100	-0.5106
103	0.0
106	-0.9118
106	0.0
106	0.0516
115	-0.6597
118	-0.8271
118	0.0
120	-0.6705
120	0.0
