Date	Val
82	-0.5574
99	-0.7003
99	-0.6705
100	-0.5574
100	-0.3612
100	-0.5574
100	-0.836
100	-0.6908
100	-0.5574
100	-0.7003
100	-0.5574
101	-0.5574
101	-0.2263
101	-0.296
101	-0.5574
102	-0.5574
103	-0.5574
103	-0.5574
103	-0.4588
103	-0.7003
103	-0.5574
104	-0.5574
104	-0.1779
104	-0.4404
104	-0.5859
104	-0.296
105	-0.5574
106	-0.9118
106	-0.8834
106	-0.6908
106	-0.5574
107	-0.7906
107	-0.5574
107	-0.7184
109	-0.6597
110	-0.7269
110	-0.5574
110	-0.5574
111	-0.8442
112	-0.6908
114	-0.8176
115	-0.6597
118	-0.8271
118	-0.5574
118	-0.5574
